Iteration 1, loss = 0.71484750
Iteration 2, loss = 0.75703428
Iteration 3, loss = 0.78158404
Iteration 4, loss = 0.61470052
Iteration 5, loss = 0.59456907
Iteration 6, loss = 0.64384535
Iteration 7, loss = 0.61496012
Iteration 8, loss = 0.59823933
Iteration 9, loss = 0.63381550
Iteration 10, loss = 0.54448629
Iteration 11, loss = 0.64351026
Iteration 12, loss = 0.63124745
Iteration 13, loss = 0.62738765
Iteration 14, loss = 0.60399783
Iteration 15, loss = 0.64838410
Iteration 16, loss = 0.58778631
Iteration 17, loss = 0.51626131
Iteration 18, loss = 0.67634681
Iteration 19, loss = 0.79022300
Iteration 20, loss = 0.56588475
Iteration 21, loss = 0.70036803
Iteration 22, loss = 0.70689384
Iteration 23, loss = 0.65699142
Iteration 24, loss = 0.61031703
Iteration 25, loss = 0.59441038
Iteration 26, loss = 0.60332848
Iteration 27, loss = 0.60151029
Iteration 28, loss = 0.56727912
Iteration 29, loss = 0.51506337
Iteration 30, loss = 0.43739608
Iteration 31, loss = 0.50238411
Iteration 32, loss = 0.48941937
Iteration 33, loss = 0.43895992
Iteration 34, loss = 0.50590791
Iteration 35, loss = 0.45581671
Iteration 36, loss = 0.36709463
Iteration 37, loss = 0.39634219
Iteration 38, loss = 0.41145085
Iteration 39, loss = 0.35189824
Iteration 40, loss = 0.33697038
Iteration 41, loss = 0.46015753
Iteration 42, loss = 0.43854622
Iteration 43, loss = 0.31779775
Iteration 44, loss = 0.37785944
Iteration 45, loss = 0.39557351
Iteration 46, loss = 0.31170060
Iteration 47, loss = 0.33809457
Iteration 48, loss = 0.34214711
Iteration 49, loss = 0.29319979
Iteration 50, loss = 0.30689533
Iteration 51, loss = 0.31200094
Iteration 52, loss = 0.29831360
Iteration 53, loss = 0.28455698
Iteration 54, loss = 0.27672382
Iteration 55, loss = 0.29480520
Iteration 56, loss = 0.25748019
Iteration 57, loss = 0.25495102
Iteration 58, loss = 0.25399289
Iteration 59, loss = 0.24184656
Iteration 60, loss = 0.22400709
Iteration 61, loss = 0.22802821
Iteration 62, loss = 0.19965126
Iteration 63, loss = 0.24489827
Iteration 64, loss = 0.18802820
Iteration 65, loss = 0.21016066
Iteration 66, loss = 0.17942978
Iteration 67, loss = 0.21190234
Iteration 68, loss = 0.19212846
Iteration 69, loss = 0.22488042
Iteration 70, loss = 0.20698930
Iteration 71, loss = 0.20073451
Iteration 72, loss = 0.22062822
Iteration 73, loss = 0.19826877
Iteration 74, loss = 0.18125348
Iteration 75, loss = 0.20479665
Iteration 76, loss = 0.16385699
Iteration 77, loss = 0.20147594
Iteration 78, loss = 0.16737916
Iteration 79, loss = 0.19829028
Iteration 80, loss = 0.19790707
Iteration 81, loss = 0.17933930
Iteration 82, loss = 0.19368337
Iteration 83, loss = 0.18603177
Iteration 84, loss = 0.18167902
Iteration 85, loss = 0.17292532
Iteration 86, loss = 0.17286146
Iteration 87, loss = 0.15797775
Iteration 88, loss = 0.15902544
Iteration 89, loss = 0.13637384
Iteration 90, loss = 0.16226616
Iteration 91, loss = 0.17368384
Iteration 92, loss = 0.18383095
Iteration 93, loss = 0.13022147
Iteration 94, loss = 0.16494040
