Iteration 1, loss = 0.69487342
Iteration 2, loss = 0.64539192
Iteration 3, loss = 1.22555042
Iteration 4, loss = 0.57790208
Iteration 5, loss = 0.81867699
Iteration 6, loss = 0.71483402
Iteration 7, loss = 0.61040599
Iteration 8, loss = 0.60831250
Iteration 9, loss = 0.64552136
Iteration 10, loss = 0.52226973
Iteration 11, loss = 0.62009543
Iteration 12, loss = 0.75102998
Iteration 13, loss = 0.61968806
Iteration 14, loss = 0.63080053
Iteration 15, loss = 0.83943546
Iteration 16, loss = 0.58324614
Iteration 17, loss = 0.44075330
Iteration 18, loss = 0.66215076
Iteration 19, loss = 0.61697547
Iteration 20, loss = 0.38777958
Iteration 21, loss = 0.38683764
Iteration 22, loss = 0.38048916
Iteration 23, loss = 0.43325955
Iteration 24, loss = 0.37009780
Iteration 25, loss = 0.39469179
Iteration 26, loss = 0.35330846
Iteration 27, loss = 0.41576417
Iteration 28, loss = 0.34889079
Iteration 29, loss = 0.34899593
Iteration 30, loss = 0.33007312
Iteration 31, loss = 0.28077724
Iteration 32, loss = 0.40974399
Iteration 33, loss = 0.27905186
Iteration 34, loss = 0.28692990
Iteration 35, loss = 0.27916705
Iteration 36, loss = 0.30932284
Iteration 37, loss = 0.27964882
Iteration 38, loss = 0.25138510
Iteration 39, loss = 0.22590784
Iteration 40, loss = 0.25428201
Iteration 41, loss = 0.22858486
Iteration 42, loss = 0.21703388
Iteration 43, loss = 0.22716280
Iteration 44, loss = 0.21586340
Iteration 45, loss = 0.21641643
Iteration 46, loss = 0.21613809
Iteration 47, loss = 0.20032566
Iteration 48, loss = 0.19359254
Iteration 49, loss = 0.20080128
Iteration 50, loss = 0.22374436
Iteration 51, loss = 0.18860590
Iteration 52, loss = 0.18611190
Iteration 53, loss = 0.18499690
Iteration 54, loss = 0.16184769
Iteration 55, loss = 0.17347032
Iteration 56, loss = 0.15937450
Iteration 57, loss = 0.16628141
Iteration 58, loss = 0.14412101
Iteration 59, loss = 0.13571458
Iteration 60, loss = 0.13513815
Iteration 61, loss = 0.17022303
Iteration 62, loss = 0.16157470
Iteration 63, loss = 0.16474371
Iteration 64, loss = 0.14099504
Iteration 65, loss = 0.15058661
Iteration 66, loss = 0.15751566
Iteration 67, loss = 0.15958790
Iteration 68, loss = 0.25198275
Iteration 69, loss = 0.16328688
Iteration 70, loss = 0.23013124
Iteration 71, loss = 0.21439707
Iteration 72, loss = 0.15873819
Iteration 73, loss = 0.17767633
Iteration 74, loss = 0.15496462
Iteration 75, loss = 0.16822412
Iteration 76, loss = 0.13767931
Iteration 77, loss = 0.13007261
Iteration 78, loss = 0.13533550
Iteration 79, loss = 0.12366054
Iteration 80, loss = 0.11956232
Iteration 81, loss = 0.11811170
Iteration 82, loss = 0.11427929
Iteration 83, loss = 0.11253287
Iteration 84, loss = 0.10660061
Iteration 85, loss = 0.10226715
Iteration 86, loss = 0.10188507
Iteration 87, loss = 0.10417449
Iteration 88, loss = 0.12027784
Iteration 89, loss = 0.16820762
Iteration 90, loss = 0.09430249
Iteration 91, loss = 0.16016845
Iteration 92, loss = 0.33101221
Iteration 93, loss = 0.31433073
Iteration 94, loss = 0.39909808
Iteration 95, loss = 0.21299935
Iteration 96, loss = 0.27848515
Iteration 97, loss = 0.41262802
Iteration 98, loss = 0.33288997
Iteration 99, loss = 0.50134671
Iteration 100, loss = 0.35797668
Iteration 101, loss = 0.41398539
Iteration 102, loss = 0.23575979
Iteration 103, loss = 0.45221535
Iteration 104, loss = 0.20834597
Iteration 105, loss = 0.30563902
Iteration 106, loss = 0.14874323
Iteration 107, loss = 0.13538769
Iteration 108, loss = 0.15855836
Iteration 109, loss = 0.21061348
Iteration 110, loss = 0.23115578
Iteration 111, loss = 0.18821523
Iteration 112, loss = 0.14309974
Iteration 113, loss = 0.13587970
Iteration 114, loss = 0.15868993
Iteration 115, loss = 0.18509281
Iteration 116, loss = 0.16816005
Iteration 117, loss = 0.13733137
Iteration 118, loss = 0.12382952
Iteration 119, loss = 0.11850170
Iteration 120, loss = 0.12534977
Iteration 121, loss = 0.12659530
Iteration 122, loss = 0.11982253
